Compania,Seccion_CIIU,Clasificacion_Tamaño,Año,Razon_Liquidez,Prueba_Acida,Razon_Efectivo,Deuda_Activos_pct,Deuda_Capital_pct,Deuda_Neta_EBITDA,ZScore_Altman,ROA_pct,ROE_pct,Margen_Operacional_pct,Margen_Neto_pct,Margen_EBITDA_pct,Activos_Totales,Pasivos_Totales,Patrimonio_Total,Ingresos_Operativos,Utilidad_Neta,EBIT,Capital_Trabajo,Contrib_X1_2021,Contrib_X2_2021,Contrib_X3_2021,Contrib_X4_2021,Zona_ZScore,Cluster_Label,Contrib_X1_2022,Contrib_X2_2022,Contrib_X3_2022,Contrib_X4_2022,Contrib_X1_2023,Contrib_X2_2023,Contrib_X3_2023,Contrib_X4_2023,Contrib_X1_2024,Contrib_X2_2024,Contrib_X3_2024,Contrib_X4_2024
Celsia Colombia S.A. E.S.P,"D – Electricidad, gas, vapor",Grande,2021,0.7000,0.6400,0.0400,32.6100,70.7800,2.4300,1.4400,5.5600,12.0700,25.7700,14.3100,33.9000,9300363.8700,5015268.2100,4285095.6600,3689898.9700,517139.1500,931207.3700,-397892.9400,-0.2807,0.3068,0.6728,0.8971,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Bavaria & Cia S.C.A,C – Industria manufacturera,Grande,2021,0.9000,0.7900,0.2500,0.8100,2.1800,-0.2700,3.0000,26.8900,72.7400,48.4200,56.0400,55.3700,10250547.0400,6461771.5000,3788775.5300,5700820.0000,2755997.7300,2381141.4600,-333693.6000,-0.2136,0.5823,1.5610,0.6157,Zona Alerta,Alto desempeño,,,,,,,,,,,,
Sodimac Colombia S.A.,G – Comercio al por mayor y menor,Grande,2021,1.7300,0.2400,0.1700,44.1300,128.7000,1.9600,2.5000,9.5900,27.9600,11.3600,6.6700,14.4200,3647014.6700,2396554.1500,1250460.5200,5242199.2500,349672.7300,595625.2300,545608.9700,0.9814,0.0378,1.0975,0.5479,Zona Segura,Perfil moderado,,,,,,,,,,,,
Chevron Petroleum Company,B – Explotación de minas y canteras,Grande,2021,1.2600,0.7200,0.3100,5.1900,39.7000,-0.6800,8.8100,1.7600,13.4700,1.3200,0.6000,2.2800,1167868.0000,1015049.0000,152819.0000,3439181.0000,20578.0000,45219.0000,98517.0000,0.5534,7.8354,0.2602,0.1581,Zona Segura,Perfil moderado,,,,,,,,,,,,
Carbones del Cerrejon Limited,C – Industria manufacturera,Grande,2021,0.8000,0.5100,0.0000,0.5900,1.4800,0.0100,3.6900,23.0200,57.9000,41.1900,23.9100,50.5100,6813263.1700,4104325.8300,2708937.3500,6525904.4400,1568582.2000,2701757.8500,-420734.4200,-0.4051,0.7541,2.6648,0.6930,Zona Segura,Alto desempeño,,,,,,,,,,,,
Droguerias y Farmacias Cruz Verde S.A.S,G – Comercio al por mayor y menor,Grande,2021,1.1400,0.6500,0.0300,2.8100,19.4200,0.1200,1.3300,1.3400,9.2600,1.9800,0.8700,4.6200,2136388.0000,1827364.1700,309023.8400,3281668.3500,28625.8400,65060.7000,204425.5300,0.6277,0.4032,0.2046,0.1776,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Verano Energy (Switzerland) Ag Sucursal,B – Explotación de minas y canteras,Grande,2021,1.1500,1.1500,0.0600,0.0000,0.0000,-0.0600,4.6700,13.1400,24.3700,48.0700,25.1800,66.8700,5180070.5900,2388401.7300,2791668.8600,2758365.8100,680433.1300,1299130.9800,281725.1800,0.3568,1.4484,1.6853,1.2273,Zona Segura,Alto desempeño,,,,,,,,,,,,
Une Epm Telecomunicaciones S.A.,J – Información y comunicaciones,Grande,2021,0.8000,0.7900,0.3100,33.6300,312.4400,1.5400,-0.7300,-6.0300,-56.0000,5.1300,-11.1600,30.3200,9498215.0000,8475938.0000,1022277.0000,5131194.0000,-572492.0000,263321.0000,-519067.0000,-0.3585,-0.2971,0.1863,0.1266,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Industria Nacional de Gaseosas Sas,C – Industria manufacturera,Grande,2021,0.5200,0.4000,0.0900,0.0000,0.0000,-0.3900,-1.1800,0.5200,1.1900,0.8700,0.3200,7.6000,1867024.6900,1056358.2900,810666.4000,3098132.3500,9669.2000,26046.1500,-460021.5800,-1.6163,-0.3943,0.0937,0.8058,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Biomax Biocombustibles S.A.,G – Comercio al por mayor y menor,Grande,2021,1.1700,0.7700,0.4300,36.7800,85.2200,2.0900,2.1700,7.1800,16.6300,3.6400,2.5000,4.2400,924896.1400,525746.9200,399149.2200,2661728.4000,66388.8700,96627.0600,41593.1500,0.2950,0.4528,0.7021,0.7972,Zona Alerta,Perfil moderado,,,,,,,,,,,,
