Compania,Seccion_CIIU,Clasificacion_Tamaño,Año,Razon_Liquidez,Prueba_Acida,Razon_Efectivo,Deuda_Activos_pct,Deuda_Capital_pct,Deuda_Neta_EBITDA,ZScore_Altman,ROA_pct,ROE_pct,Margen_Operacional_pct,Margen_Neto_pct,Margen_EBITDA_pct,Activos_Totales,Pasivos_Totales,Patrimonio_Total,Ingresos_Operativos,Utilidad_Neta,EBIT,Capital_Trabajo,Contrib_X1_2021,Contrib_X2_2021,Contrib_X3_2021,Contrib_X4_2021,Zona_ZScore,Cluster_Label,Contrib_X1_2022,Contrib_X2_2022,Contrib_X3_2022,Contrib_X4_2022,Contrib_X1_2023,Contrib_X2_2023,Contrib_X3_2023,Contrib_X4_2023,Contrib_X1_2024,Contrib_X2_2024,Contrib_X3_2024,Contrib_X4_2024
Freskaleche S.A.S.,C – Industria manufacturera,Grande,2021,0.9700,0.8400,0.1100,0.0000,0.0000,-0.7300,1.3800,3.4400,10.7700,3.0300,1.6800,4.6500,114479.6300,77965.6300,36514.0000,240724.4700,3932.4600,7108.2900,-2135.6500,-0.1224,0.6627,0.4173,0.4918,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Idemia Colombia S.A.S.,C – Industria manufacturera,Grande,2021,1.3700,0.9800,0.0900,4.4600,9.6500,0.0000,4.6100,19.1600,41.4700,18.7300,14.0600,22.8500,215729.4100,116073.6900,99655.7200,294031.5700,41328.1200,55076.7500,40094.5400,1.2192,0.6876,1.7156,0.9015,Zona Segura,Alto desempeño,,,,,,,,,,,,
Porcicultores Apa S.A.S.,C – Industria manufacturera,Grande,2021,1.3600,0.2900,0.1200,34.5500,95.3500,3.8600,1.7300,1.3900,3.8400,2.3100,0.4700,2.6500,99354.1100,63349.8500,36004.2600,292637.5800,1384.0000,6740.2000,13482.9200,0.8902,0.0613,0.4559,0.5968,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Adecco Servicios Colombia S A,N – Actividades de servicios administrativos,Grande,2021,1.5200,1.5200,0.0200,6.0300,16.9100,0.2000,4.2300,13.2700,37.2300,6.1700,3.9900,7.6700,88664.4400,57054.8600,31609.5800,297072.4700,11766.9400,18218.1200,25528.0300,1.8887,0.3866,1.3808,0.5817,Zona Segura,Perfil moderado,,,,,,,,,,,,
Jmv Construktora S.A.S.,F – Construcción,Grande,2021,8.1600,7.4100,0.8200,0.0000,0.0000,-0.7600,9.9800,10.4600,17.8000,15.1700,12.5400,15.6300,143996.4400,59388.9700,84607.4700,120065.6000,15057.9300,18208.7500,123885.9200,5.6438,1.8571,0.8498,1.4959,Zona Segura,Alto desempeño,,,,,,,,,,,,
Scotia Global Business Services Colombia S.A.S,P – Educación,Grande,2021,2.5500,2.5500,1.3900,42.2200,103.6200,1.6900,2.6700,3.1900,7.8200,6.3800,3.0300,12.1100,239920.8600,142158.6200,97762.2400,252393.2200,7644.2800,16113.9700,55355.8000,1.5136,0.1096,0.4513,0.7221,Zona Segura,Alto desempeño,,,,,,,,,,,,
Abastecemos de Occidente Sociedad Por Acciones Simplificada,C – Industria manufacturera,Grande,2021,1.4600,0.5400,0.2700,9.8000,18.2300,0.1400,3.9300,7.3800,13.7300,2.5600,1.8000,3.1800,60969.8900,28194.0900,32775.8000,250236.7300,4500.4100,6399.3900,8196.3800,0.8819,1.0945,0.7053,1.2206,Zona Segura,Perfil moderado,,,,,,,,,,,,
Azelis Colombia S.A.S,G – Comercio al por mayor y menor,Grande,2021,1.0300,0.6500,0.0600,24.8800,124.3700,1.8800,1.3200,7.3500,36.7500,15.3200,10.2900,16.2000,314312.4600,251432.5100,62879.9500,218973.7500,23110.1100,34402.7800,5254.4900,0.1097,0.2398,0.7355,0.2626,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Independence Drilling S A,B – Explotación de minas y canteras,Grande,2021,1.1900,0.9500,0.0200,43.0900,132.7000,8.0200,0.3900,-2.9100,-8.9700,2.4400,-6.0400,11.0600,676702.5900,456947.5900,219755.0100,332924.7000,-19714.1800,7951.1600,25037.3700,0.2427,-0.1206,0.0790,0.5050,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Annar Diagnostica Import S A S,G – Comercio al por mayor y menor,Grande,2021,3.3300,2.3200,1.1000,0.0300,0.0400,-0.4700,11.6100,31.6700,44.6800,33.2000,22.2600,38.5800,371837.2700,108262.2000,263575.0800,535362.8500,117750.8500,175605.5000,204508.1800,3.6080,2.2703,3.1736,2.5563,Zona Segura,Alto desempeño,,,,,,,,,,,,
Internexa S.A.,J – Información y comunicaciones,Grande,2021,1.0400,1.0400,0.1300,47.6900,228.0400,2.2600,-0.1000,4.2400,20.2900,22.4600,10.9900,51.5000,515672.6300,407829.5100,107843.1200,215213.5200,21881.1400,44722.4100,4598.1300,0.0585,-0.7924,0.5828,0.2777,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Accenture Ltda,J – Información y comunicaciones,Grande,2021,0.9000,0.9000,0.1500,0.0000,0.0000,-1.3400,-0.5900,2.2300,54.0400,2.3000,1.1700,5.4500,153535.5000,147206.4600,6329.0400,293189.4100,3420.3000,6728.9400,-15067.4000,-0.6438,-0.2734,0.2945,0.0451,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Colsof S.A.S,G – Comercio al por mayor y menor,Grande,2021,1.4600,1.2100,0.3100,17.4800,44.1100,-0.0800,3.7300,7.5800,19.1400,5.4000,3.5900,6.7000,121082.0100,73098.4100,47983.6000,263817.2900,9183.3000,13802.1700,33567.6800,1.8186,0.5103,0.7660,0.6892,Zona Segura,Perfil moderado,,,,,,,,,,,,
Super Pagos S.A.S.,H – Transporte y almacenamiento,Grande,2021,0.9500,0.9400,0.1100,5.8200,11.0800,0.0800,2.8400,0.1800,0.3400,1.5000,0.0200,1.5300,27510.2900,13071.2700,14439.0200,334739.1400,48.8900,4993.6400,-574.0700,-0.1369,1.6796,1.2198,1.1599,Zona Segura,Alto desempeño,,,,,,,,,,,,
Agroindustria del Riofrio Sas,G – Comercio al por mayor y menor,Grande,2021,1.3300,1.2200,0.2000,0.5900,1.7000,-0.4700,3.6600,12.8800,37.0900,5.3100,2.8200,5.7400,54620.5400,35659.8100,18960.7200,249122.6600,7032.6500,13218.8600,11484.4200,1.3793,0.4494,1.6263,0.5583,Zona Segura,Perfil moderado,,,,,,,,,,,,
Atento Colombia S A,C – Industria manufacturera,Grande,2021,1.0500,1.0500,0.0500,34.3400,143.5600,1.3500,1.3100,2.5600,10.6800,6.0300,1.6600,15.2400,219574.3000,167050.3500,52523.9500,340900.3500,5611.8700,20366.0500,5580.1000,0.1667,0.5385,0.6233,0.3301,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Qbco S.A.S.,C – Industria manufacturera,Grande,2021,0.7400,0.2700,0.1400,9.4800,34.4600,0.3100,-0.4000,3.8300,13.9400,4.2700,3.8500,5.3900,450863.8300,326861.0200,124002.8100,449004.4400,17288.2700,19164.7200,-64628.3900,-0.9403,-0.1561,0.2856,0.3983,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Alimentos del Valle S.A.,C – Industria manufacturera,Grande,2021,1.0500,0.5900,0.0600,20.4300,54.6800,3.8600,1.8200,1.0600,2.8400,1.6400,0.6500,2.8300,129080.6700,80860.5300,48220.1400,210776.3000,1368.1500,3446.7300,2812.6800,0.1429,0.9545,0.1794,0.6262,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Productos Yupi Sas,C – Industria manufacturera,Grande,2021,0.9000,0.7100,0.0600,31.5900,75.8600,9.2900,1.4300,0.4600,1.1100,-0.0900,0.3100,2.2200,171351.2500,99995.1800,71356.0700,256402.1500,791.6000,-221.2200,-3626.8600,-0.1389,0.7232,-0.0087,0.7493,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Pvc Gerfor S.A.S,C – Industria manufacturera,Grande,2021,1.5900,0.7800,0.1200,10.5800,23.0800,0.5800,2.3100,6.6100,14.4300,12.0300,7.2100,15.3300,428655.8600,232228.4200,196427.4500,409394.9200,28340.1000,47266.6700,53795.4600,0.8233,0.0706,0.7410,0.8881,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Muebles Jamar S.A.,V – Otra,Grande,2021,1.7300,1.1500,0.0800,39.7600,174.4600,3.2700,3.2500,1.6500,7.2400,3.4700,0.9200,6.1100,226014.9500,174506.8600,51508.0800,406945.3000,3728.3100,14108.4400,74989.1700,2.1765,0.4940,0.4195,0.3099,Zona Segura,Perfil moderado,,,,,,,,,,,,
Skechers Colombia Sas,G – Comercio al por mayor y menor,Grande,2021,0.9500,0.8300,0.4500,9.4400,396.3000,-1.8100,-0.0100,2.2500,94.6400,15.4400,2.4500,17.5800,200848.3400,196066.3000,4782.0400,185107.7000,4525.6500,28564.1500,-8444.1500,-0.2758,0.0772,0.9557,0.0256,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Medical Duarte Zf S.A.S.,Q – Salud y servicios sociales,Grande,2021,6.7800,6.6300,3.4300,0.0000,0.0000,-1.6100,15.9500,22.6800,25.4600,30.0600,29.5500,30.3900,227264.4500,24813.1500,202451.3000,174442.2500,51551.3300,52440.6200,143454.1300,4.1408,1.7131,1.5506,8.5670,Zona Segura,Alto desempeño,,,,,,,,,,,,
Disan Agro Sas,G – Comercio al por mayor y menor,Grande,2021,1.3500,0.6400,0.0000,33.8800,166.8900,2.7000,3.1000,8.9100,43.9000,10.3500,7.4000,10.3800,282339.1300,225018.2700,57320.8600,340700.3600,25161.2200,35178.1000,71369.7600,1.6582,0.4208,0.8373,0.2675,Zona Segura,Perfil moderado,,,,,,,,,,,,
Productora de Alambres Colombianos Proalco S A S,C – Industria manufacturera,Grande,2021,1.0200,0.5200,0.1200,10.3000,46.2000,0.1000,1.1300,4.3800,19.6400,8.4000,3.4800,9.4500,356608.6100,277108.5400,79500.0700,439590.7000,15609.7900,37650.6200,6016.5200,0.1107,0.1595,0.7095,0.3012,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Caoba Inversiones S.A.S.,"D – Electricidad, gas, vapor",Grande,2021,3.1500,3.1500,1.0800,75.7900,405.6300,7.5400,0.4900,0.4300,2.2900,56.7800,3.6700,83.5300,1551225.2300,1261403.0200,289822.2100,181137.0900,6640.4300,102853.0600,69055.4000,0.2920,-0.1030,0.4456,0.2412,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Rymel Ingenieria Electrica S.A.S.,C – Industria manufacturera,Grande,2021,1.8200,0.8300,0.1100,4.3000,7.4300,0.0300,5.3500,10.5400,18.2100,20.1400,15.0700,21.7600,147746.4600,62174.8900,85571.5700,104653.6800,15579.8900,20816.0600,41779.5500,1.8550,1.0471,0.9468,1.4451,Zona Segura,Alto desempeño,,,,,,,,,,,,
Estudios Tecnicos S.A.S,M – Actividades profesionales y científicas,Grande,2021,2.6200,2.6100,0.5300,4.9800,7.8400,-0.5000,8.6900,16.9300,26.6200,14.9500,10.3400,16.8500,159328.3400,58009.8300,101318.5100,261779.6400,26975.2100,38996.5400,91432.4300,3.7645,1.4383,1.6448,1.8339,Zona Segura,Alto desempeño,,,,,,,,,,,,
Bienestar Ips S.A.S.,G – Comercio al por mayor y menor,Grande,2021,1.4200,1.3800,0.0200,0.0000,0.0000,-0.0900,3.3200,1.6900,3.4300,3.6400,0.8900,6.4200,127713.0900,64758.3300,62954.7600,242408.9100,2158.5500,8827.7300,27384.9300,1.4066,0.5711,0.4645,1.0208,Zona Segura,Perfil moderado,,,,,,,,,,,,
Keralty S.A.S,M – Actividades profesionales y científicas,Grande,2021,0.4200,0.4200,0.3100,10.6100,12.5400,0.1700,10.2000,46.6300,55.1400,89.9900,85.9500,90.5500,777486.8600,119920.5300,657566.3300,422759.5500,362561.3900,379625.8300,-34875.6300,-0.2943,1.4797,3.2812,5.7575,Zona Segura,Alto desempeño,,,,,,,,,,,,
Fundacion Fosunab,Q – Salud y servicios sociales,Grande,2021,0.2800,0.2100,0.0100,0.0000,0.0000,-0.1800,-4.4700,4.4100,104.8300,10.2100,8.5000,11.2400,274504.3100,262948.4400,11555.8700,142600.3400,12113.9300,14555.7800,-190361.3200,-4.5492,-0.3237,0.3563,0.0461,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Fresenius Kabi Colombia S A S,G – Comercio al por mayor y menor,Grande,2021,1.4400,0.8800,0.0500,2.0000,4.4300,-0.0300,3.1400,7.2800,16.1700,8.3700,5.0800,12.8500,178680.2700,98176.8600,80503.4100,256096.1200,13014.2300,21434.4800,42469.6600,1.5592,-0.0371,0.8061,0.8610,Zona Segura,Perfil moderado,,,,,,,,,,,,
Cartonera Nacional S.A.,C – Industria manufacturera,Grande,2021,1.0300,0.7700,0.1100,19.6700,76.5800,33.4900,0.1800,-3.8700,-15.0800,-1.6200,-3.3900,0.3400,221319.5700,164479.7200,56839.8600,253549.2400,-8570.6700,-4105.1700,4134.3200,0.1225,0.0083,-0.1246,0.3629,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Win Sports S A S,J – Información y comunicaciones,Grande,2021,1.8200,1.8200,0.2500,39.1500,101.4900,-7.5300,0.1700,-2.1500,-5.5600,-6.0300,-2.0000,-4.1300,237619.3300,145963.4400,91655.9000,255020.0400,-5100.5200,-15372.1900,45884.9300,1.2668,-1.2507,-0.4347,0.6593,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Century Sports S A S,I – Alojamiento y gastronomía,Grande,2021,1.8700,0.6100,0.4600,0.0200,0.0800,-0.4600,1.9500,4.5100,21.9400,18.6200,7.3800,25.5000,416922.4000,331202.4300,85719.9800,258310.3900,18804.8000,47418.7600,57831.7900,0.9099,0.4499,0.7643,0.2718,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Mckinsey & Company Colombia Inc,M – Actividades profesionales y científicas,Grande,2021,2.9000,2.9000,0.3100,0.0000,0.0000,-1.9900,5.8800,3.6600,9.1200,2.8500,2.7200,3.4000,255149.7900,152601.2100,102548.5700,345406.8000,9348.8100,9779.8800,140303.0900,3.6072,1.3097,0.2576,0.7056,Zona Segura,Alto desempeño,,,,,,,,,,,,
Fundacion Hospital De La Misericordia,Q – Salud y servicios sociales,Grande,2021,6.7200,6.6500,0.6900,0.0000,0.0000,-0.6600,13.0500,7.0200,7.8200,14.3200,17.5200,23.2100,591301.7100,60257.8500,531043.8600,236938.5900,41510.6800,33938.8100,300058.7800,3.3289,0.0000,0.3857,9.2535,Zona Segura,Alto desempeño,,,,,,,,,,,,
Nacional de Electricos H H Ltda,G – Comercio al por mayor y menor,Grande,2021,2.3300,1.5700,0.1900,12.7800,21.7900,0.3200,7.3000,14.2700,24.3400,9.1100,5.9900,9.3300,118480.0500,49023.2600,69456.7900,293661.5100,16902.3000,25704.4200,48324.7100,2.6756,1.6793,1.4579,1.4877,Zona Segura,Alto desempeño,,,,,,,,,,,,
Cooperativa de Hospitales de Antioquia,Q – Salud y servicios sociales,Grande,2021,1.2600,0.8000,0.1200,0.9600,3.7500,-0.8000,2.1500,7.2500,28.4800,5.3900,4.1200,5.4800,171972.7400,128215.3200,43757.4200,303909.6600,12463.3300,16289.4400,31793.2800,1.2128,0.0000,0.6365,0.3583,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Experian Colombia Sa,H – Transporte y almacenamiento,Grande,2021,2.1500,2.1500,0.2900,2.3700,5.1400,-0.1800,0.9600,-5.8800,-12.7500,7.3600,-19.5200,19.1800,838045.2700,451837.5000,386207.7800,255213.2000,-49243.4800,18571.9200,113674.5900,0.8898,-0.8213,0.1489,0.8975,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Productos Familia Cajica S A S,C – Industria manufacturera,Grande,2021,3.8200,2.9700,0.1500,0.0000,0.0000,-0.0600,7.3400,20.9100,29.4200,26.8400,21.0100,30.7800,268645.4700,77702.9300,190942.5400,267499.9000,56170.0000,71757.9300,90976.0700,2.2215,0.7939,1.7950,2.5802,Zona Segura,Alto desempeño,,,,,,,,,,,,
Antioquia Gold Ltd,B – Explotación de minas y canteras,Grande,2021,0.6400,0.2100,0.0100,3.5700,4.6700,0.3400,3.2800,3.3900,4.4400,10.2400,5.5600,16.8000,407181.9400,96018.9400,311163.0000,248821.9800,13802.8100,25402.7000,-24232.1500,-0.3904,-0.0638,0.4192,3.4027,Zona Segura,Perfil moderado,,,,,,,,,,,,
Fabilu S.A.S.,G – Comercio al por mayor y menor,Grande,2021,1.4200,1.4000,0.2400,0.0000,0.0000,-1.2800,3.8000,9.5600,28.0900,15.9600,12.8600,16.7700,374111.9600,246844.9300,127267.0300,277904.0400,35753.2900,44360.6300,103103.8300,1.8079,0.5291,0.7968,0.5414,Zona Segura,Perfil moderado,,,,,,,,,,,,
Adium S.A.S,G – Comercio al por mayor y menor,Grande,2021,1.2700,0.8500,0.0900,26.1700,69.5700,1.5700,2.0800,0.8800,2.3500,6.3000,0.4700,6.9000,145223.0500,90597.8800,54625.1800,276996.0300,1283.3400,17355.4500,23938.7800,1.0814,0.4437,0.8031,0.6331,Zona Segura,Perfil moderado,,,,,,,,,,,,
Sociedad de Comercializacion Internacional Banafrut S.A.S.,G – Comercio al por mayor y menor,Grande,2021,1.8500,1.5100,0.0500,32.9500,270.9200,6.5300,1.7400,2.1500,17.7200,1.5800,1.4000,3.1800,159776.6200,140345.6500,19430.9700,249360.0600,3442.1800,3880.7200,28395.8800,1.1659,0.2691,0.1632,0.1454,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Crown Colombiana S A,C – Industria manufacturera,Grande,2021,1.3800,0.8500,0.1100,18.7700,42.0700,0.5900,4.2100,12.8000,28.6900,19.6500,12.7200,21.8000,320319.8200,177436.3000,142883.5200,322518.8400,40989.4800,63335.0500,63865.9300,1.3079,0.9052,1.3287,0.8455,Zona Segura,Alto desempeño,,,,,,,,,,,,
Procesadora de Leches S.A.,C – Industria manufacturera,Grande,2021,0.5500,0.1700,0.0200,35.3900,144.9500,3.2600,-2.0300,1.8100,7.4200,1.9400,0.7300,4.2100,94989.0900,71798.9300,23190.1600,237891.0000,1720.4900,4604.2700,-27824.0700,-1.9215,-0.5699,0.3257,0.3391,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Instituto de Cancerologia S.A.S.,Q – Salud y servicios sociales,Grande,2021,1.1100,1.0100,0.3900,7.4400,25.5700,-0.8900,1.5800,7.3800,25.3600,9.3800,6.4400,16.4200,137180.4900,97262.3900,39918.0900,157183.4800,10121.3500,14745.0400,8982.4600,0.4295,0.0464,0.7223,0.4309,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Ventas y Servicios S A,J – Información y comunicaciones,Grande,2021,1.9700,1.9700,0.4300,10.0000,21.3900,-0.2400,3.9000,5.1400,10.9900,2.3800,1.6700,8.4400,105663.0800,56239.5800,49423.5000,325759.6200,5431.3500,7731.5800,38468.3100,2.3883,0.1684,0.4917,0.9227,Zona Segura,Perfil moderado,,,,,,,,,,,,
Internacional de Electricos S.A.S.,G – Comercio al por mayor y menor,Grande,2021,2.0000,1.2400,0.0100,18.3400,36.2000,0.9700,6.0100,9.9700,19.6800,9.2400,5.5200,10.2700,127587.8000,62936.5300,64651.2700,231828.5100,12723.5200,21277.8500,55186.4500,2.8374,1.1079,1.1207,1.0786,Zona Segura,Perfil moderado,,,,,,,,,,,,
Gas Natural Del Oriente S.A. E.S.P.,"D – Electricidad, gas, vapor",Grande,2021,0.9600,0.9100,0.0600,28.0400,67.9700,2.6400,2.1700,9.2000,22.2900,9.3000,10.5800,11.3100,280521.7600,164794.9800,115726.7800,246148.3300,25800.5700,22676.5400,-3695.7100,-0.0864,0.7410,0.5432,0.7374,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Eterna S A,C – Industria manufacturera,Grande,2021,1.0300,0.4200,0.0200,24.0000,75.7300,1.5800,1.9900,7.6700,24.2100,14.0200,8.2000,15.3000,314196.9700,214607.6500,99589.3300,299054.0300,24108.0200,41231.1700,4682.8800,0.0978,0.6971,0.8818,0.4873,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Provecol Antioquia S.A.S.,G – Comercio al por mayor y menor,Grande,2021,2.4300,1.6400,0.2600,7.2800,11.6500,-0.0700,8.2600,14.3000,22.8800,6.1300,3.7900,6.2700,66775.5500,25048.8100,41726.7400,255703.4800,9547.0200,15439.5700,33337.9300,3.2751,1.8085,1.5538,1.7491,Zona Segura,Alto desempeño,,,,,,,,,,,,
Disico S A,F – Construcción,Grande,2021,2.9700,2.2500,0.6100,10.5100,20.8900,-0.4000,6.3800,7.7900,15.5000,14.1000,10.0200,16.0700,162444.7900,80741.3400,81703.4400,126294.4700,12660.4600,17810.5800,81301.6100,3.2832,1.2820,0.7368,1.0625,Zona Segura,Alto desempeño,,,,,,,,,,,,
Nutricion de Plantas S.A.,C – Industria manufacturera,Grande,2021,8.0000,3.4600,1.4200,1.9200,2.1900,-0.2700,16.2200,30.8800,35.2000,24.8900,16.7400,25.3100,140850.6400,17295.7800,123554.8600,260879.3200,43496.2700,64672.9900,102070.7800,4.7539,0.9708,3.0856,7.5008,Zona Segura,Alto desempeño,,,,,,,,,,,,
Wood Engineering & Consultancy Colombia S.A.S,M – Actividades profesionales y científicas,Grande,2021,1.8000,1.8000,0.0300,2.9600,6.2200,0.0400,6.5900,17.7500,37.3700,13.8200,9.6800,18.9800,78684.0500,41308.6400,37375.4100,144378.8300,13968.4200,19950.3200,28806.0900,2.4016,1.5042,1.7039,0.9500,Zona Segura,Alto desempeño,,,,,,,,,,,,
Cyrgo S.A.S,G – Comercio al por mayor y menor,Grande,2021,1.2800,0.3100,0.1000,0.0000,0.0000,-0.2400,4.1900,17.7200,69.6500,13.7400,8.5500,14.9600,203362.5300,151611.5900,51750.9400,422107.4100,36045.4600,57909.8800,41642.4200,1.3433,0.7482,1.9136,0.3584,Zona Segura,Perfil moderado,,,,,,,,,,,,
Proquinal S.A.S.,C – Industria manufacturera,Grande,2021,1.5200,0.6200,0.0900,21.8800,42.8500,2.1000,2.5400,1.4800,2.9000,6.9300,1.9800,12.0300,342855.8200,167819.4500,175036.3700,269992.7400,5077.1200,17747.8900,57678.2800,1.1036,0.0483,0.3479,1.0952,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Loscobos Medical Center S.A.S,Q – Salud y servicios sociales,Grande,2021,0.7400,0.6700,0.0100,5.0000,24.7200,0.4300,-0.3900,6.0500,29.9400,10.7800,7.5400,11.3000,139438.2600,111265.8100,28172.4500,111886.4400,8433.8900,12063.9000,-29297.0000,-1.3783,0.1608,0.5814,0.2659,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Petroworks S.A.S,B – Explotación de minas y canteras,Grande,2021,1.6200,1.1600,0.0800,49.0200,251.1400,5.3800,1.2400,0.2900,1.4800,8.1000,0.4500,13.5000,346882.6400,279167.4400,67715.2000,238908.4100,1001.3900,18124.2500,57594.2400,1.0892,-0.2084,0.3511,0.2547,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Migan Capital S.A.S.,I – Alojamiento y gastronomía,Grande,2021,1.1100,0.6300,0.5100,29.4500,89.3200,0.7100,1.8400,9.4200,28.5800,22.8600,19.4700,24.8600,53456.0200,35828.5400,17627.4800,26215.0400,5038.2500,5916.1700,2505.8500,0.3075,0.3808,0.7437,0.5166,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Conaltura Construccion y Vivienda S.A.S.,F – Construcción,Grande,2021,4.6000,1.2300,0.4500,12.3500,38.7600,0.5900,6.3400,5.2600,16.5100,16.6200,13.9200,16.6900,553840.3500,377309.6800,176530.6600,221171.2500,29152.8900,34802.3400,383565.3700,4.5432,0.9044,0.4223,0.4913,Zona Segura,Perfil moderado,,,,,,,,,,,,
Plastilene Sas,C – Industria manufacturera,Grande,2021,1.2900,0.6500,0.0200,17.7300,41.2600,1.6800,1.9900,1.9900,4.6200,4.6200,1.9100,9.5000,325765.8900,185796.9000,139968.9900,341783.3900,6470.6500,15638.5600,44594.1500,0.8980,0.1563,0.3226,0.7910,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Fundacion Hospital San Vicente De Paul Rionegro,Q – Salud y servicios sociales,Grande,2021,0.4800,0.4600,0.0200,27.7800,69.9400,9.5600,-4.0400,1.2100,3.0500,3.4600,1.8600,4.3200,293993.0300,177212.6100,116780.4200,191065.4900,3563.4000,6620.8900,-91792.6200,-2.0482,-2.7636,0.1513,0.6919,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Avofruit S.A.S,G – Comercio al por mayor y menor,Grande,2021,0.8400,0.7400,0.0000,30.5600,561.5100,6.5900,-0.6700,0.7200,13.2300,2.0600,0.6200,3.9400,88057.7100,83265.9300,4791.7800,116807.3700,633.9400,2118.7900,-10876.8500,-0.8103,0.0043,0.1617,0.0604,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Merck S A,G – Comercio al por mayor y menor,Grande,2021,3.9000,1.8000,0.2600,5.7300,8.2700,-0.0100,8.2200,9.1300,13.1800,8.3400,5.4800,9.4700,188887.9200,58056.0700,130831.8500,316844.8300,17239.8200,26242.9900,124888.7800,4.3373,0.6439,0.9336,2.3662,Zona Segura,Alto desempeño,,,,,,,,,,,,
Empresa de Medicina Integral Emi S.A.S. Servicio de Ambulancia Prepagada,Q – Salud y servicios sociales,Grande,2021,3.1500,3.1500,1.5500,7.6000,10.6900,-0.8600,9.9800,32.5800,45.8100,24.5200,20.0100,25.3900,142931.7700,41285.5900,101646.1900,232722.3700,46561.7900,57069.6900,84945.6900,3.8987,0.4295,2.6832,2.5851,Zona Segura,Alto desempeño,,,,,,,,,,,,
Dexco Zona Franca S.A.S.,C – Industria manufacturera,Grande,2021,2.9700,2.2500,1.9100,0.2200,0.2500,-1.0300,9.6800,15.1000,17.6400,17.6500,14.1200,22.6200,223290.4700,32247.7200,191042.7500,240220.5800,33705.4400,42108.4600,57842.4000,1.6993,0.5036,1.2673,6.2204,Zona Segura,Alto desempeño,,,,,,,,,,,,
Hitss Colombia Sas,P – Educación,Grande,2021,1.3100,1.3100,0.0200,12.7600,40.6900,0.3100,4.5300,19.0400,60.7000,13.5700,7.8000,14.8300,88303.1100,60607.3700,27695.7300,215418.0400,16809.9300,29226.4400,15792.7500,1.1732,0.7838,2.2242,0.4798,Zona Segura,Alto desempeño,,,,,,,,,,,,
Integra Trading S A S,G – Comercio al por mayor y menor,Grande,2021,1.1600,0.5800,0.0400,39.0200,201.5700,4.8400,1.7600,4.1300,21.3300,1.4400,0.8200,1.4800,28957.0100,23351.8700,5605.1400,147926.6100,1195.7200,2099.6700,3803.8900,0.8617,0.2674,0.4873,0.2520,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Automotriz Italoamerica S.A.S.,G – Comercio al por mayor y menor,Grande,2021,1.2900,0.7100,0.4100,17.3700,47.9200,-0.4100,3.5700,11.6100,32.0400,8.3400,4.8000,8.6700,86718.9600,55294.8100,31424.1500,212556.2100,10067.5100,17467.3600,15863.1600,1.2000,0.6826,1.3536,0.5967,Zona Segura,Perfil moderado,,,,,,,,,,,,
Baterias Willard S.A.,C – Industria manufacturera,Grande,2021,1.4400,0.7700,0.0500,30.6300,58.6900,1.7300,4.1000,10.1300,19.4000,10.2500,7.0800,11.5200,202976.7700,97025.5200,105951.2500,291157.9000,20552.9800,29737.6300,39861.6500,1.2883,0.6659,0.9845,1.1466,Zona Segura,Perfil moderado,,,,,,,,,,,,
Laboratorios La Sante S A,C – Industria manufacturera,Grande,2021,1.2400,0.7300,0.0400,22.2800,59.8000,1.5800,2.5600,5.5400,14.8700,20.0200,9.8600,23.7600,473717.8600,297225.3500,176492.5100,301493.1900,26251.5700,53296.5300,37329.1900,0.5169,0.7574,0.7560,0.6235,Zona Segura,Perfil moderado,,,,,,,,,,,,
